Grid mode: 250 periods in [100, 2000] yr, 10 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.2, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: 0.7 MSol, Secondary Star (m2) Mass Guess: 0.64 MSol
  [1/250] P =   100.00 yr, a = 79.389"  e = 0.999, M = 2139.007 Msun  cost = 2.24154818013894
  [2/250] P =   107.63 yr, a = 85.320"  e = 0.999, M = 2291.933 Msun  cost = 1.6255105233167146
  [3/250] P =   115.26 yr, a = 91.261"  e = 0.999, M = 2445.792 Msun  cost = 1.2027694280574226
  [4/250] P =   122.89 yr, a = 97.208"  e = 0.999, M = 2600.105 Msun  cost = 0.9053809619532592
  [5/250] P =   130.52 yr, a = 100.000"  e = 0.999, M = 2509.326 Msun  cost = 0.6917923791095628
  [6/250] P =   138.15 yr, a = 100.000"  e = 0.999, M = 2239.785 Msun  cost = 0.5355247997197763
  [7/250] P =   145.78 yr, a = 100.000"  e = 0.999, M = 2011.456 Msun  cost = 0.4192221765555993
  [8/250] P =   153.41 yr, a = 100.000"  e = 0.999, M = 1816.339 Msun  cost = 0.3314164213686703
  [9/250] P =   161.04 yr, a = 100.000"  e = 0.998, M = 1648.295 Msun  cost = 0.2642799134967118
  [10/250] P =   168.67 yr, a = 100.000"  e = 0.998, M = 1502.537 Msun  cost = 0.21236539669745583
  [11/250] P =   176.31 yr, a = 100.000"  e = 0.998, M = 1375.291 Msun  cost = 0.17181571322584607
  [12/250] P =   183.94 yr, a = 100.000"  e = 0.998, M = 1263.551 Msun  cost = 0.13985656290392615
  [13/250] P =   191.57 yr, a = 100.000"  e = 0.998, M = 1164.895 Msun  cost = 0.11446397980904345
  [14/250] P =   199.20 yr, a = 100.000"  e = 0.998, M = 1077.359 Msun  cost = 0.0941422207322042
  [15/250] P =   206.83 yr, a = 100.000"  e = 0.997, M = 999.331 Msun  cost = 0.07777279050904193
  [16/250] P =   214.46 yr, a = 100.000"  e = 0.997, M = 929.482 Msun  cost = 0.06451020043979386
  [17/250] P =   222.09 yr, a = 100.000"  e = 0.997, M = 866.709 Msun  cost = 0.05370893961030537
  [18/250] P =   229.72 yr, a = 100.000"  e = 0.997, M = 810.087 Msun  cost = 0.0448716343897576
  [19/250] P =   237.35 yr, a = 100.000"  e = 0.997, M = 758.838 Msun  cost = 0.03761178296500858
  [20/250] P =   244.98 yr, a = 100.000"  e = 0.996, M = 712.302 Msun  cost = 0.03162666964477279
  [21/250] P =   252.61 yr, a = 100.000"  e = 0.996, M = 669.919 Msun  cost = 0.02667745897600898
  [22/250] P =   260.24 yr, a = 100.000"  e = 0.996, M = 631.210 Msun  cost = 0.022574430507964885
  [23/250] P =   267.87 yr, a = 100.000"  e = 0.996, M = 595.761 Msun  cost = 0.019165917880999455
  [24/250] P =   275.50 yr, a = 17.003"  e = 0.891, M = 2.768 Msun  cost = 0.03102525243818325
  [25/250] P =   283.13 yr, a = 100.000"  e = 0.995, M = 533.268 Msun  cost = 0.013967918344031096
  [26/250] P =   290.76 yr, a = 100.000"  e = 0.995, M = 505.646 Msun  cost = 0.011999637307264771
  [27/250] P =   298.39 yr, a = 100.000"  e = 0.995, M = 480.116 Msun  cost = 0.010359630783774472
  [28/250] P =   306.02 yr, a = 100.000"  e = 0.994, M = 456.472 Msun  cost = 0.008994168460448192
  [29/250] P =   313.65 yr, a = 100.000"  e = 0.994, M = 434.532 Msun  cost = 0.00785897217344978
  [30/250] P =   321.29 yr, a = 99.999"  e = 0.994, M = 414.127 Msun  cost = 0.006917411045857893
  [31/250] P =   328.92 yr, a = 100.000"  e = 0.993, M = 395.145 Msun  cost = 0.006139052119687945
  [32/250] P =   336.55 yr, a = 100.000"  e = 0.993, M = 377.429 Msun  cost = 0.005498545455365509
  [33/250] P =   344.18 yr, a = 17.578"  e = 0.848, M = 1.960 Msun  cost = 0.011668297375205637
  [34/250] P =   351.81 yr, a = 100.000"  e = 0.992, M = 345.395 Msun  cost = 0.004549678067728272
  [35/250] P =   359.44 yr, a = 100.000"  e = 0.992, M = 330.886 Msun  cost = 0.004208565083521776
  [36/250] P =   367.07 yr, a = 100.000"  e = 0.992, M = 317.272 Msun  cost = 0.003938719773688255
  [37/250] P =   374.70 yr, a = 100.000"  e = 0.991, M = 304.481 Msun  cost = 0.0037294647023712836
  [38/250] P =   382.33 yr, a = 100.000"  e = 0.991, M = 292.449 Msun  cost = 0.0035717472967607793
  [39/250] P =   389.96 yr, a = 100.000"  e = 0.991, M = 281.116 Msun  cost = 0.003457875943282401
  [40/250] P =   397.59 yr, a = 100.000"  e = 0.990, M = 270.429 Msun  cost = 0.0033813014084188857
  [41/250] P =   405.22 yr, a = 100.000"  e = 0.990, M = 260.340 Msun  cost = 0.0033364365178490214
  [42/250] P =   412.85 yr, a = 95.319"  e = 0.989, M = 217.209 Msun  cost = 0.003318777959234995
  [43/250] P =   420.48 yr, a = 64.999"  e = 0.977, M = 66.398 Msun  cost = 0.0033176214598087277
  [44/250] P =   428.11 yr, a = 48.198"  e = 0.958, M = 26.115 Msun  cost = 0.0033175991516348102
  [45/250] P =   435.74 yr, a = 39.769"  e = 0.937, M = 14.161 Msun  cost = 0.0033175954090554835
  [46/250] P =   443.37 yr, a = 34.870"  e = 0.916, M = 9.221 Msun  cost = 0.0033175941971670527
  [47/250] P =   451.00 yr, a = 31.660"  e = 0.894, M = 6.669 Msun  cost = 0.003317594477016681
  [48/250] P =   458.63 yr, a = 29.454"  e = 0.874, M = 5.193 Msun  cost = 0.003317594475719766
  [49/250] P =   466.27 yr, a = 27.848"  e = 0.853, M = 4.247 Msun  cost = 0.003317594446908763
  [50/250] P =   473.90 yr, a = 26.526"  e = 0.840, M = 3.553 Msun  cost = 0.003317593927026804
  [51/250] P =   481.53 yr, a = 25.707"  e = 0.814, M = 3.132 Msun  cost = 0.0033175945300151794
  [52/250] P =   489.16 yr, a = 24.976"  e = 0.796, M = 2.784 Msun  cost = 0.0033175944770871177
  [53/250] P =   496.79 yr, a = 24.063"  e = 0.787, M = 2.413 Msun  cost = 0.003317595416367043
  [54/250] P =   504.42 yr, a = 23.583"  e = 0.768, M = 2.204 Msun  cost = 0.0033175944832736118
  [55/250] P =   512.05 yr, a = 23.170"  e = 0.752, M = 2.028 Msun  cost = 0.003317595065176187
  [56/250] P =   519.68 yr, a = 22.855"  e = 0.735, M = 1.890 Msun  cost = 0.0033175952505221738
  [57/250] P =   527.31 yr, a = 22.604"  e = 0.719, M = 1.776 Msun  cost = 0.0033175954718999232
  [58/250] P =   534.94 yr, a = 23.163"  e = 0.689, M = 1.857 Msun  cost = 0.0033176022304239657
  [59/250] P =   542.57 yr, a = 22.870"  e = 0.676, M = 1.737 Msun  cost = 0.0033175956602903606
  [60/250] P =   550.20 yr, a = 21.921"  e = 0.681, M = 1.488 Msun  cost = 0.003317609227941819
  [61/250] P =   557.83 yr, a = 22.723"  e = 0.647, M = 1.612 Msun  cost = 0.003317595141441264
  [62/250] P =   565.46 yr, a = 22.118"  e = 0.644, M = 1.447 Msun  cost = 0.003317595130464092
  [63/250] P =   573.09 yr, a = 22.665"  e = 0.618, M = 1.515 Msun  cost = 0.0033175942114124675
  [64/250] P =   580.72 yr, a = 22.152"  e = 0.616, M = 1.378 Msun  cost = 0.0033175944727101784
  [65/250] P =   588.35 yr, a = 23.679"  e = 0.579, M = 1.640 Msun  cost = 0.003317659233987378
  [66/250] P =   595.98 yr, a = 24.613"  e = 0.562, M = 1.795 Msun  cost = 0.0033177772876937174
  [67/250] P =   603.61 yr, a = 22.298"  e = 0.577, M = 1.301 Msun  cost = 0.003317594497281405
  [68/250] P =   611.24 yr, a = 22.896"  e = 0.552, M = 1.373 Msun  cost = 0.003317594051117652
  [69/250] P =   618.88 yr, a = 22.974"  e = 0.539, M = 1.353 Msun  cost = 0.0033175939601128445
  [70/250] P =   626.51 yr, a = 23.061"  e = 0.527, M = 1.336 Msun  cost = 0.0033175939279005205
  [71/250] P =   634.14 yr, a = 23.051"  e = 0.517, M = 1.302 Msun  cost = 0.0033175913735392472
  [72/250] P =   641.77 yr, a = 23.826"  e = 0.493, M = 1.404 Msun  cost = 0.0033176287902295194
  [73/250] P =   649.40 yr, a = 23.359"  e = 0.492, M = 1.292 Msun  cost = 0.003317593829528597
  [74/250] P =   657.03 yr, a = 22.969"  e = 0.495, M = 1.200 Msun  cost = 0.003317594534465588
  [75/250] P =   664.66 yr, a = 23.092"  e = 0.485, M = 1.192 Msun  cost = 0.0033175943290307728
  [76/250] P =   672.29 yr, a = 23.619"  e = 0.461, M = 1.246 Msun  cost = 0.0033175915307571526
  [77/250] P =   679.92 yr, a = 23.351"  e = 0.463, M = 1.177 Msun  cost = 0.003317593802111194
  [78/250] P =   687.55 yr, a = 23.706"  e = 0.445, M = 1.205 Msun  cost = 0.003317589490556824
  [79/250] P =   695.18 yr, a = 24.055"  e = 0.428, M = 1.231 Msun  cost = 0.0033175932310414128
  [80/250] P =   702.81 yr, a = 23.731"  e = 0.434, M = 1.157 Msun  cost = 0.003317593991292868
  [81/250] P =   710.44 yr, a = 24.331"  e = 0.408, M = 1.220 Msun  cost = 0.0033175938246141966
  [82/250] P =   718.07 yr, a = 23.497"  e = 0.443, M = 1.075 Msun  cost = 0.0033176462030521077
  [83/250] P =   725.70 yr, a = 24.584"  e = 0.389, M = 1.206 Msun  cost = 0.0033175934247379945
  [84/250] P =   733.33 yr, a = 24.259"  e = 0.398, M = 1.135 Msun  cost = 0.003317594457738311
  [85/250] P =   740.96 yr, a = 24.715"  e = 0.376, M = 1.175 Msun  cost = 0.003317589695972236
  [86/250] P =   748.59 yr, a = 24.946"  e = 0.364, M = 1.184 Msun  cost = 0.0033175918664193793
  [87/250] P =   756.22 yr, a = 24.696"  e = 0.372, M = 1.126 Msun  cost = 0.003317593420016505
  [88/250] P =   763.86 yr, a = 25.017"  e = 0.355, M = 1.147 Msun  cost = 0.0033175889448685348
  [89/250] P =   771.49 yr, a = 24.905"  e = 0.359, M = 1.110 Msun  cost = 0.0033175972517195712
  [90/250] P =   779.12 yr, a = 25.195"  e = 0.344, M = 1.126 Msun  cost = 0.003317590544132959
  [91/250] P =   786.75 yr, a = 25.354"  e = 0.335, M = 1.126 Msun  cost = 0.0033175900456006366
  [92/250] P =   794.38 yr, a = 25.717"  e = 0.317, M = 1.152 Msun  cost = 0.0033175900020112003
  [93/250] P =   802.01 yr, a = 25.597"  e = 0.322, M = 1.115 Msun  cost = 0.003317591176854449
  [94/250] P =   809.64 yr, a = 25.748"  e = 0.314, M = 1.113 Msun  cost = 0.0033175908240248787
  [95/250] P =   817.27 yr, a = 26.145"  e = 0.294, M = 1.144 Msun  cost = 0.0033175899638048715
  [96/250] P =   824.90 yr, a = 26.065"  e = 0.298, M = 1.112 Msun  cost = 0.0033175897510143953
  [97/250] P =   832.53 yr, a = 26.518"  e = 0.275, M = 1.150 Msun  cost = 0.0033175929000768176
  [98/250] P =   840.16 yr, a = 26.495"  e = 0.276, M = 1.126 Msun  cost = 0.0033175888137128543
  [99/250] P =   847.79 yr, a = 26.413"  e = 0.283, M = 1.096 Msun  cost = 0.003317592555428307
  [100/250] P =   855.42 yr, a = 26.549"  e = 0.278, M = 1.093 Msun  cost = 0.0033175928653754374
  [101/250] P =   863.05 yr, a = 26.686"  e = 0.272, M = 1.091 Msun  cost = 0.0033175931844443445
  [102/250] P =   870.68 yr, a = 26.888"  e = 0.262, M = 1.096 Msun  cost = 0.00331759060002463
  [103/250] P =   878.31 yr, a = 27.062"  e = 0.254, M = 1.098 Msun  cost = 0.003317589544731275
  [104/250] P =   885.94 yr, a = 27.097"  e = 0.256, M = 1.084 Msun  cost = 0.0033175941168804408
  [105/250] P =   893.57 yr, a = 27.592"  e = 0.226, M = 1.125 Msun  cost = 0.0033175905067538243
  [106/250] P =   901.20 yr, a = 27.705"  e = 0.222, M = 1.119 Msun  cost = 0.0033175895526107893
  [107/250] P =   908.84 yr, a = 27.639"  e = 0.230, M = 1.093 Msun  cost = 0.003317589242382389
  [108/250] P =   916.47 yr, a = 28.050"  e = 0.207, M = 1.123 Msun  cost = 0.0033175915309343316
  [109/250] P =   924.10 yr, a = 27.835"  e = 0.227, M = 1.080 Msun  cost = 0.003317592647843234
  [110/250] P =   931.73 yr, a = 27.972"  e = 0.223, M = 1.078 Msun  cost = 0.003317592933913954
  [111/250] P =   939.36 yr, a = 28.091"  e = 0.220, M = 1.074 Msun  cost = 0.0033175943370426747
  [112/250] P =   946.99 yr, a = 28.263"  e = 0.213, M = 1.076 Msun  cost = 0.003317592503762654
  [113/250] P =   954.62 yr, a = 28.482"  e = 0.202, M = 1.084 Msun  cost = 0.003317589292620227
  [114/250] P =   962.25 yr, a = 28.870"  e = 0.177, M = 1.111 Msun  cost = 0.0033175903087469196
  [115/250] P =   969.88 yr, a = 29.081"  e = 0.168, M = 1.118 Msun  cost = 0.003317593336115191
  [116/250] P =   977.51 yr, a = 28.907"  e = 0.189, M = 1.081 Msun  cost = 0.0033175891927620708
  [117/250] P =   985.14 yr, a = 29.260"  e = 0.166, M = 1.103 Msun  cost = 0.0033175892484172396
  [118/250] P =   992.77 yr, a = 29.188"  e = 0.181, M = 1.079 Msun  cost = 0.003317589117261443
  [119/250] P =  1000.40 yr, a = 29.259"  e = 0.184, M = 1.070 Msun  cost = 0.0033175919686493464
  [120/250] P =  1008.03 yr, a = 29.504"  e = 0.170, M = 1.081 Msun  cost = 0.0033175881448998202
  [121/250] P =  1015.66 yr, a = 29.729"  e = 0.158, M = 1.089 Msun  cost = 0.003317587506510507
  [122/250] P =  1023.29 yr, a = 29.669"  e = 0.175, M = 1.066 Msun  cost = 0.003317592520050012
  [123/250] P =  1030.92 yr, a = 30.214"  e = 0.133, M = 1.109 Msun  cost = 0.0033175938862894643
  [124/250] P =  1038.55 yr, a = 30.017"  e = 0.162, M = 1.072 Msun  cost = 0.003317589285074867
  [125/250] P =  1046.18 yr, a = 30.115"  e = 0.164, M = 1.067 Msun  cost = 0.0033175909863084538
  [126/250] P =  1053.82 yr, a = 30.458"  e = 0.140, M = 1.088 Msun  cost = 0.003317587649820492
  [127/250] P =  1061.45 yr, a = 30.460"  e = 0.151, M = 1.072 Msun  cost = 0.003317588426642302
  [128/250] P =  1069.08 yr, a = 30.533"  e = 0.156, M = 1.065 Msun  cost = 0.003317590889721694
  [129/250] P =  1076.71 yr, a = 30.637"  e = 0.159, M = 1.060 Msun  cost = 0.0033175928513126786
  [130/250] P =  1084.34 yr, a = 30.874"  e = 0.145, M = 1.070 Msun  cost = 0.0033175883670685693
  [131/250] P =  1091.97 yr, a = 30.962"  e = 0.149, M = 1.064 Msun  cost = 0.003317590160616535
  [132/250] P =  1099.60 yr, a = 31.121"  e = 0.145, M = 1.066 Msun  cost = 0.0033175893671967753
  [133/250] P =  1107.23 yr, a = 31.296"  e = 0.139, M = 1.069 Msun  cost = 0.0033175881210200492
  [134/250] P =  1114.86 yr, a = 31.403"  e = 0.141, M = 1.065 Msun  cost = 0.003317589015140078
  [135/250] P =  1122.49 yr, a = 31.589"  e = 0.134, M = 1.069 Msun  cost = 0.0033175876248277164
  [136/250] P =  1130.12 yr, a = 31.659"  e = 0.141, M = 1.062 Msun  cost = 0.003317589594934781
  [137/250] P =  1137.75 yr, a = 31.915"  e = 0.126, M = 1.074 Msun  cost = 0.003317587008821619
  [138/250] P =  1145.38 yr, a = 31.966"  e = 0.135, M = 1.064 Msun  cost = 0.003317588341190048
  [139/250] P =  1153.01 yr, a = 32.257"  e = 0.117, M = 1.079 Msun  cost = 0.0033175875555694037
  [140/250] P =  1160.64 yr, a = 32.289"  e = 0.128, M = 1.068 Msun  cost = 0.0033175871931428597
  [141/250] P =  1168.27 yr, a = 32.335"  e = 0.139, M = 1.059 Msun  cost = 0.0033175897799883583
  [142/250] P =  1175.90 yr, a = 34.017"  e = 0.010, M = 1.217 Msun  cost = 0.0033177795806773325
  [143/250] P =  1183.53 yr, a = 32.659"  e = 0.132, M = 1.063 Msun  cost = 0.0033175878768511922
  [144/250] P =  1191.16 yr, a = 32.770"  e = 0.135, M = 1.060 Msun  cost = 0.0033175884867151094
  [145/250] P =  1198.80 yr, a = 32.910"  e = 0.135, M = 1.060 Msun  cost = 0.003317588359513269
  [146/250] P =  1206.43 yr, a = 33.026"  e = 0.138, M = 1.058 Msun  cost = 0.003317588932702934
  [147/250] P =  1214.06 yr, a = 33.163"  e = 0.138, M = 1.058 Msun  cost = 0.003317588803898932
  [148/250] P =  1221.69 yr, a = 33.258"  e = 0.143, M = 1.054 Msun  cost = 0.0033175905523971593
  [149/250] P =  1229.32 yr, a = 33.392"  e = 0.144, M = 1.053 Msun  cost = 0.003317590504886326
  [150/250] P =  1236.95 yr, a = 33.523"  e = 0.145, M = 1.053 Msun  cost = 0.0033175906419994554
  [151/250] P =  1244.58 yr, a = 33.638"  e = 0.148, M = 1.050 Msun  cost = 0.003317591635824731
  [152/250] P =  1252.21 yr, a = 33.765"  e = 0.150, M = 1.050 Msun  cost = 0.003317591997866221
  [153/250] P =  1259.84 yr, a = 33.903"  e = 0.150, M = 1.050 Msun  cost = 0.0033175917189638177
  [154/250] P =  1267.47 yr, a = 33.974"  e = 0.158, M = 1.043 Msun  cost = 0.0033175963866348404
  [155/250] P =  1275.10 yr, a = 34.172"  e = 0.152, M = 1.049 Msun  cost = 0.0033175914499967286
  [156/250] P =  1282.73 yr, a = 34.305"  e = 0.153, M = 1.049 Msun  cost = 0.003317591357371019
  [157/250] P =  1290.36 yr, a = 34.440"  e = 0.154, M = 1.049 Msun  cost = 0.0033175911998114573
  [158/250] P =  1297.99 yr, a = 34.574"  e = 0.155, M = 1.049 Msun  cost = 0.003317591110798939
  [159/250] P =  1305.62 yr, a = 34.708"  e = 0.156, M = 1.049 Msun  cost = 0.0033175908764027087
  [160/250] P =  1313.25 yr, a = 34.843"  e = 0.157, M = 1.049 Msun  cost = 0.0033175906862302324
  [161/250] P =  1320.88 yr, a = 34.978"  e = 0.159, M = 1.049 Msun  cost = 0.0033175904683080777
  [162/250] P =  1328.51 yr, a = 35.104"  e = 0.161, M = 1.048 Msun  cost = 0.0033175907053555657
  [163/250] P =  1336.14 yr, a = 35.239"  e = 0.162, M = 1.048 Msun  cost = 0.003317590471135856
  [164/250] P =  1343.78 yr, a = 35.369"  e = 0.164, M = 1.047 Msun  cost = 0.0033175905014697087
  [165/250] P =  1351.41 yr, a = 35.498"  e = 0.166, M = 1.047 Msun  cost = 0.0033175905704569035
  [166/250] P =  1359.04 yr, a = 35.793"  e = 0.152, M = 1.061 Msun  cost = 0.003317586363548231
  [167/250] P =  1366.67 yr, a = 35.757"  e = 0.169, M = 1.046 Msun  cost = 0.0033175905815872077
  [168/250] P =  1374.30 yr, a = 35.884"  e = 0.171, M = 1.046 Msun  cost = 0.0033175906979276406
  [169/250] P =  1381.93 yr, a = 36.081"  e = 0.167, M = 1.051 Msun  cost = 0.0033175877462922137
  [170/250] P =  1389.56 yr, a = 36.142"  e = 0.175, M = 1.045 Msun  cost = 0.0033175907483630803
  [171/250] P =  1397.19 yr, a = 36.254"  e = 0.179, M = 1.043 Msun  cost = 0.003317591784683358
  [172/250] P =  1404.82 yr, a = 36.381"  e = 0.181, M = 1.043 Msun  cost = 0.003317591820359509
  [173/250] P =  1412.45 yr, a = 36.530"  e = 0.181, M = 1.045 Msun  cost = 0.0033175905876890225
  [174/250] P =  1420.08 yr, a = 36.659"  e = 0.183, M = 1.044 Msun  cost = 0.0033175905707437444
  [175/250] P =  1427.71 yr, a = 36.786"  e = 0.185, M = 1.044 Msun  cost = 0.003317590584220136
  [176/250] P =  1435.34 yr, a = 36.914"  e = 0.187, M = 1.044 Msun  cost = 0.0033175905942476273
  [177/250] P =  1442.97 yr, a = 37.042"  e = 0.189, M = 1.044 Msun  cost = 0.0033175905545829525
  [178/250] P =  1450.60 yr, a = 37.165"  e = 0.191, M = 1.043 Msun  cost = 0.0033175907941275402
  [179/250] P =  1458.23 yr, a = 37.259"  e = 0.196, M = 1.040 Msun  cost = 0.003317592949482207
  [180/250] P =  1465.86 yr, a = 37.427"  e = 0.195, M = 1.043 Msun  cost = 0.0033175903613573213
  [181/250] P =  1473.49 yr, a = 37.554"  e = 0.197, M = 1.043 Msun  cost = 0.0033175903398885683
  [182/250] P =  1481.12 yr, a = 37.682"  e = 0.199, M = 1.043 Msun  cost = 0.0033175902996122253
  [183/250] P =  1488.76 yr, a = 37.791"  e = 0.202, M = 1.041 Msun  cost = 0.003317591277574429
  [184/250] P =  1496.39 yr, a = 38.435"  e = 0.174, M = 1.084 Msun  cost = 0.0033176016078643573
  [185/250] P =  1504.02 yr, a = 38.065"  e = 0.204, M = 1.042 Msun  cost = 0.003317590033599535
  [186/250] P =  1511.65 yr, a = 38.192"  e = 0.206, M = 1.042 Msun  cost = 0.003317589953367209
  [187/250] P =  1519.28 yr, a = 38.312"  e = 0.209, M = 1.041 Msun  cost = 0.0033175902669145144
  [188/250] P =  1526.91 yr, a = 38.442"  e = 0.211, M = 1.042 Msun  cost = 0.003317589972709117
  [189/250] P =  1534.54 yr, a = 38.569"  e = 0.213, M = 1.042 Msun  cost = 0.0033175899105620473
  [190/250] P =  1542.17 yr, a = 38.695"  e = 0.215, M = 1.041 Msun  cost = 0.0033175898774065416
  [191/250] P =  1549.80 yr, a = 38.813"  e = 0.217, M = 1.041 Msun  cost = 0.0033175902457946646
  [192/250] P =  1557.43 yr, a = 38.948"  e = 0.219, M = 1.041 Msun  cost = 0.0033175896979941786
  [193/250] P =  1565.06 yr, a = 39.055"  e = 0.222, M = 1.040 Msun  cost = 0.003317590623402987
  [194/250] P =  1572.69 yr, a = 39.198"  e = 0.223, M = 1.041 Msun  cost = 0.0033175896156777186
  [195/250] P =  1580.32 yr, a = 39.322"  e = 0.225, M = 1.041 Msun  cost = 0.0033175895991204786
  [196/250] P =  1587.95 yr, a = 39.448"  e = 0.227, M = 1.041 Msun  cost = 0.003317589492783907
