Grid mode: 5000 periods in [0.1, 120] yr, 10 Iterations each, Mass Constrain = False
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: None MSol, Secondary Star (m2) Mass Guess: None MSol
  [1/5000] P =     0.10 yr, a = 99.986"  e = 0.995, M = 6399840349.816 Msun  cost = 15.366946001494664
  [2/5000] P =     0.12 yr, a = 1.756"  e = 0.255, M = 22536.555 Msun  cost = 7.383921922926603
  [3/5000] P =     0.15 yr, a = 28.445"  e = 0.999, M = 67299038.910 Msun  cost = 11.119984282028652
  [4/5000] P =     0.17 yr, a = 15.190"  e = 0.994, M = 7588942.077 Msun  cost = 10.021888726300888
  [5/5000] P =     0.20 yr, a = 45.496"  e = 0.999, M = 157045361.238 Msun  cost = 7.876058029003091
  [6/5000] P =     0.22 yr, a = 30.086"  e = 0.999, M = 36049004.940 Msun  cost = 11.610669360813088
  [7/5000] P =     0.24 yr, a = 35.607"  e = 0.999, M = 48586994.459 Msun  cost = 9.893516638864487
  [8/5000] P =     0.27 yr, a = 20.240"  e = 0.997, M = 7397354.422 Msun  cost = 10.065503112726802
  [9/5000] P =     0.29 yr, a = 48.160"  e = 0.999, M = 83947500.727 Msun  cost = 7.56338210704543
  [10/5000] P =     0.32 yr, a = 3.830"  e = 0.946, M = 36050.494 Msun  cost = 12.788679489934504
  [11/5000] P =     0.34 yr, a = 3.272"  e = 0.707, M = 19423.410 Msun  cost = 2.2458380481931544
  [12/5000] P =     0.36 yr, a = 43.703"  e = 0.999, M = 40371754.666 Msun  cost = 9.3868107107386
  [13/5000] P =     0.39 yr, a = 4.425"  e = 0.895, M = 36882.034 Msun  cost = 8.322691720776218
  [14/5000] P =     0.41 yr, a = 15.553"  e = 0.989, M = 1420439.998 Msun  cost = 8.604474485076423
  [15/5000] P =     0.44 yr, a = 34.422"  e = 0.999, M = 13750428.846 Msun  cost = 9.407384812219686
  [16/5000] P =     0.46 yr, a = 13.282"  e = 0.994, M = 709619.943 Msun  cost = 11.459341324841116
  [17/5000] P =     0.48 yr, a = 1.535"  e = 0.273, M = 989.429 Msun  cost = 8.399137423469778
  [18/5000] P =     0.51 yr, a = 2.179"  e = 0.271, M = 2568.851 Msun  cost = 0.06610707626524719
  [19/5000] P =     0.53 yr, a = 36.906"  e = 0.999, M = 11383122.049 Msun  cost = 10.863665591368367
  [20/5000] P =     0.56 yr, a = 9.000"  e = 0.992, M = 151146.767 Msun  cost = 12.661895028963976
  [21/5000] P =     0.58 yr, a = 1.508"  e = 0.473, M = 653.694 Msun  cost = 10.771148987214007
  [22/5000] P =     0.60 yr, a = 34.431"  e = 0.999, M = 7171157.545 Msun  cost = 9.588226151185694
  [23/5000] P =     0.63 yr, a = 33.267"  e = 0.999, M = 5983228.113 Msun  cost = 11.575544883780069
  [24/5000] P =     0.65 yr, a = 6.289"  e = 0.978, M = 37498.572 Msun  cost = 11.524033373854442
  [25/5000] P =     0.68 yr, a = 26.174"  e = 0.999, M = 2515107.848 Msun  cost = 13.035763312318872
  [26/5000] P =     0.70 yr, a = 2.219"  e = 0.443, M = 1428.517 Msun  cost = 10.79529470146979
  [27/5000] P =     0.72 yr, a = 3.947"  e = 0.979, M = 7521.092 Msun  cost = 12.875098728644906
  [28/5000] P =     0.75 yr, a = 18.658"  e = 0.996, M = 744040.002 Msun  cost = 9.140838170290563
  [29/5000] P =     0.77 yr, a = 34.905"  e = 0.999, M = 4573472.960 Msun  cost = 9.236027617878783
  [30/5000] P =     0.80 yr, a = 37.214"  e = 0.999, M = 5213520.707 Msun  cost = 10.07484131985658
  [31/5000] P =     0.82 yr, a = 40.103"  e = 0.999, M = 6148256.172 Msun  cost = 9.864263799548397
  [32/5000] P =     0.84 yr, a = 20.032"  e = 0.996, M = 723335.830 Msun  cost = 10.011106483548016
  [33/5000] P =     0.87 yr, a = 9.557"  e = 0.997, M = 74260.769 Msun  cost = 13.815108512485821
  [34/5000] P =     0.89 yr, a = 31.532"  e = 0.999, M = 2525525.390 Msun  cost = 10.819981936752882
  [35/5000] P =     0.92 yr, a = 33.215"  e = 0.999, M = 2799447.952 Msun  cost = 10.832121670715834
  [36/5000] P =     0.94 yr, a = 1.899"  e = 0.265, M = 496.541 Msun  cost = 6.653244406587339
  [37/5000] P =     0.96 yr, a = 2.128"  e = 0.139, M = 664.829 Msun  cost = 0.16793628938371016
  [38/5000] P =     0.99 yr, a = 3.656"  e = 0.612, M = 3208.158 Msun  cost = 0.034364798348773526
  [39/5000] P =     1.01 yr, a = 3.976"  e = 0.643, M = 3934.510 Msun  cost = 0.03681378358577268
  [40/5000] P =     1.04 yr, a = 2.140"  e = 0.205, M = 585.218 Msun  cost = 0.10411813752933798
  [41/5000] P =     1.06 yr, a = 2.442"  e = 0.354, M = 830.938 Msun  cost = 1.888897196724127
  [42/5000] P =     1.08 yr, a = 3.061"  e = 0.884, M = 1564.517 Msun  cost = 11.494659772675709
  [43/5000] P =     1.11 yr, a = 34.765"  e = 0.999, M = 2193747.200 Msun  cost = 10.252101900147808
  [44/5000] P =     1.13 yr, a = 39.029"  e = 0.999, M = 2973857.537 Msun  cost = 10.133301394749642
  [45/5000] P =     1.16 yr, a = 15.216"  e = 0.998, M = 168968.145 Msun  cost = 13.936029435791813
  [46/5000] P =     1.18 yr, a = 11.739"  e = 0.995, M = 74464.109 Msun  cost = 13.114205513353845
  [47/5000] P =     1.20 yr, a = 12.217"  e = 0.995, M = 80622.963 Msun  cost = 12.585621379433377
  [48/5000] P =     1.23 yr, a = 19.289"  e = 0.996, M = 305073.483 Msun  cost = 10.000992179517885
  [49/5000] P =     1.25 yr, a = 11.562"  e = 0.995, M = 63206.638 Msun  cost = 12.619959650896096
  [50/5000] P =     1.28 yr, a = 36.033"  e = 0.999, M = 1841806.959 Msun  cost = 10.326379496080735
  [51/5000] P =     1.30 yr, a = 1.336"  e = 0.585, M = 90.348 Msun  cost = 12.91791245657473
  [52/5000] P =     1.32 yr, a = 30.754"  e = 0.999, M = 1063583.453 Msun  cost = 10.755880753651416
  [53/5000] P =     1.35 yr, a = 36.612"  e = 0.999, M = 1731187.437 Msun  cost = 10.226756888537635
  [54/5000] P =     1.37 yr, a = 3.858"  e = 0.924, M = 1955.685 Msun  cost = 10.149591519456617
  [55/5000] P =     1.40 yr, a = 30.883"  e = 0.999, M = 968811.235 Msun  cost = 10.52848074929818
  [56/5000] P =     1.42 yr, a = 34.651"  e = 0.999, M = 1322664.282 Msun  cost = 9.318384622455373
  [57/5000] P =     1.44 yr, a = 1.058"  e = 0.597, M = 36.395 Msun  cost = 12.638860837948652
  [58/5000] P =     1.47 yr, a = 28.196"  e = 0.999, M = 666783.742 Msun  cost = 10.40460971426522
  [59/5000] P =     1.49 yr, a = 27.071"  e = 0.998, M = 571274.555 Msun  cost = 9.936991496500529
  [60/5000] P =     1.52 yr, a = 35.135"  e = 0.999, M = 1209733.616 Msun  cost = 9.228004547522485
  [61/5000] P =     1.54 yr, a = 34.609"  e = 0.999, M = 1120458.675 Msun  cost = 9.698229551106014
  [62/5000] P =     1.56 yr, a = 28.107"  e = 0.999, M = 581895.497 Msun  cost = 11.380074066898821
  [63/5000] P =     1.59 yr, a = 30.714"  e = 0.999, M = 736496.420 Msun  cost = 10.307294234607303
  [64/5000] P =     1.61 yr, a = 11.255"  e = 0.996, M = 35171.759 Msun  cost = 13.008084519604745
  [65/5000] P =     1.64 yr, a = 6.822"  e = 0.982, M = 7603.400 Msun  cost = 11.374683639669232
