Grid mode: 1000 periods in [0.1, 120] yr, 10 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: 2.17 MSol, Secondary Star (m2) Mass Guess: 1.0 MSol
  [1/1000] P =     0.10 yr, a = 100.000"  e = 0.959, M = 1838341505.935 Msun  cost = 126.48232904776538
  [2/1000] P =     0.22 yr, a = 9.366"  e = 0.999, M = 312001.388 Msun  cost = 155.00405691555852
  [3/1000] P =     0.34 yr, a = 22.476"  e = 0.999, M = 1805279.080 Msun  cost = 117.75365885719141
  [4/1000] P =     0.46 yr, a = 5.833"  e = 0.999, M = 17236.481 Msun  cost = 170.51461337431596
  [5/1000] P =     0.58 yr, a = 4.821"  e = 0.999, M = 6120.030 Msun  cost = 171.85181795411387
  [6/1000] P =     0.70 yr, a = 12.917"  e = 0.999, M = 80828.531 Msun  cost = 166.22101329327594
  [7/1000] P =     0.82 yr, a = 7.438"  e = 0.999, M = 11247.754 Msun  cost = 172.1664789432809
  [8/1000] P =     0.94 yr, a = 15.403"  e = 0.999, M = 76002.369 Msun  cost = 143.82169051789916
  [9/1000] P =     1.06 yr, a = 44.614"  e = 0.999, M = 1452463.384 Msun  cost = 100.67081189406116
  [10/1000] P =     1.18 yr, a = 5.514"  e = 0.999, M = 2212.169 Msun  cost = 153.17473871391704
  [11/1000] P =     1.30 yr, a = 6.787"  e = 0.999, M = 3399.128 Msun  cost = 167.53879828096666
  [12/1000] P =     1.42 yr, a = 5.293"  e = 0.999, M = 1351.274 Msun  cost = 168.26083396536504
  [13/1000] P =     1.54 yr, a = 12.220"  e = 0.999, M = 14141.393 Msun  cost = 152.138480830631
  [14/1000] P =     1.66 yr, a = 12.035"  e = 0.999, M = 11626.152 Msun  cost = 154.34655861132268
  [15/1000] P =     1.78 yr, a = 4.661"  e = 0.999, M = 587.154 Msun  cost = 171.47950695541346
  [16/1000] P =     1.90 yr, a = 10.808"  e = 0.999, M = 6426.289 Msun  cost = 154.2197913739612
  [17/1000] P =     2.02 yr, a = 100.000"  e = 0.999, M = 4503862.844 Msun  cost = 105.6892048297616
  [18/1000] P =     2.14 yr, a = 10.451"  e = 0.999, M = 4580.792 Msun  cost = 167.08114774971637
  [19/1000] P =     2.26 yr, a = 7.809"  e = 0.999, M = 1713.681 Msun  cost = 163.6030255481789
  [20/1000] P =     2.38 yr, a = 16.911"  e = 0.999, M = 15690.352 Msun  cost = 173.1668242813495
  [21/1000] P =     2.50 yr, a = 12.165"  e = 0.999, M = 5293.151 Msun  cost = 152.95396185678266
  [22/1000] P =     2.62 yr, a = 5.894"  e = 0.999, M = 548.218 Msun  cost = 164.66639805864037
  [23/1000] P =     2.74 yr, a = 4.673"  e = 0.999, M = 249.865 Msun  cost = 166.85002663692376
  [24/1000] P =     2.86 yr, a = 10.349"  e = 0.999, M = 2490.528 Msun  cost = 149.19087986457677
  [25/1000] P =     2.98 yr, a = 5.814"  e = 0.999, M = 406.805 Msun  cost = 140.91866885757585
  [26/1000] P =     3.10 yr, a = 16.348"  e = 0.999, M = 8355.592 Msun  cost = 146.08086066588083
  [27/1000] P =     3.22 yr, a = 9.903"  e = 0.999, M = 1721.184 Msun  cost = 163.95808479164347
  [28/1000] P =     3.34 yr, a = 4.759"  e = 0.999, M = 177.524 Msun  cost = 158.9328367222898
  [29/1000] P =     3.46 yr, a = 7.944"  e = 0.999, M = 769.579 Msun  cost = 162.61396973268796
  [30/1000] P =     3.58 yr, a = 8.590"  e = 0.999, M = 908.938 Msun  cost = 172.3691067952325
  [31/1000] P =     3.70 yr, a = 4.742"  e = 0.999, M = 143.113 Msun  cost = 171.67100756653522
  [32/1000] P =     3.82 yr, a = 10.625"  e = 0.999, M = 1510.436 Msun  cost = 157.35204846867944
  [33/1000] P =     3.94 yr, a = 9.033"  e = 0.999, M = 872.686 Msun  cost = 144.2632576640307
  [34/1000] P =     4.06 yr, a = 9.025"  e = 0.999, M = 819.528 Msun  cost = 143.23106436096418
  [35/1000] P =     4.18 yr, a = 12.774"  e = 0.999, M = 2192.212 Msun  cost = 154.9959506478405
  [36/1000] P =     4.30 yr, a = 5.660"  e = 0.999, M = 180.216 Msun  cost = 169.1496990804857
  [37/1000] P =     4.42 yr, a = 5.389"  e = 0.999, M = 147.250 Msun  cost = 174.91321460323766
  [38/1000] P =     4.54 yr, a = 5.688"  e = 0.999, M = 164.116 Msun  cost = 168.55726261996958
  [39/1000] P =     4.66 yr, a = 4.698"  e = 0.999, M = 87.727 Msun  cost = 165.772326055556
  [40/1000] P =     4.78 yr, a = 4.788"  e = 0.998, M = 88.273 Msun  cost = 154.62140899937546
  [41/1000] P =     4.90 yr, a = 4.794"  e = 0.999, M = 84.347 Msun  cost = 146.3505286946407
  [42/1000] P =     5.02 yr, a = 6.306"  e = 0.999, M = 182.881 Msun  cost = 145.06028586658388
  [43/1000] P =     5.14 yr, a = 9.562"  e = 0.999, M = 608.166 Msun  cost = 148.4208987419487
  [44/1000] P =     5.26 yr, a = 4.746"  e = 0.999, M = 71.028 Msun  cost = 158.8419056125665
  [45/1000] P =     5.38 yr, a = 11.940"  e = 0.999, M = 1080.873 Msun  cost = 168.43629923923822
  [46/1000] P =     5.50 yr, a = 4.795"  e = 0.999, M = 66.965 Msun  cost = 166.15783268462053
  [47/1000] P =     5.62 yr, a = 5.302"  e = 0.999, M = 86.740 Msun  cost = 170.67121959468594
  [48/1000] P =     5.74 yr, a = 6.656"  e = 0.999, M = 164.447 Msun  cost = 170.48484709362899
  [49/1000] P =     5.86 yr, a = 8.917"  e = 0.999, M = 379.463 Msun  cost = 165.92432970314857
  [50/1000] P =     5.98 yr, a = 7.291"  e = 0.999, M = 199.206 Msun  cost = 159.97529405398018
  [51/1000] P =     6.10 yr, a = 7.211"  e = 0.999, M = 185.190 Msun  cost = 154.37890448308352
  [52/1000] P =     6.22 yr, a = 7.115"  e = 0.999, M = 171.066 Msun  cost = 152.14159989325486
  [53/1000] P =     6.34 yr, a = 13.911"  e = 0.999, M = 1230.871 Msun  cost = 151.86093505391767
  [54/1000] P =     6.46 yr, a = 23.525"  e = 0.999, M = 5733.165 Msun  cost = 154.6165236576158
  [55/1000] P =     6.58 yr, a = 24.301"  e = 0.999, M = 6091.311 Msun  cost = 150.74407735234703
  [56/1000] P =     6.70 yr, a = 31.156"  e = 0.999, M = 12381.128 Msun  cost = 147.28064323631867
  [57/1000] P =     6.82 yr, a = 4.932"  e = 0.999, M = 47.390 Msun  cost = 147.30708547324292
  [58/1000] P =     6.94 yr, a = 5.430"  e = 0.999, M = 61.078 Msun  cost = 146.95942764147753
  [59/1000] P =     7.06 yr, a = 7.265"  e = 0.999, M = 141.352 Msun  cost = 148.28316568097864
  [60/1000] P =     7.18 yr, a = 8.724"  e = 0.999, M = 236.663 Msun  cost = 151.28916300279826
  [61/1000] P =     7.30 yr, a = 7.212"  e = 0.999, M = 129.363 Msun  cost = 156.82565028553918
  [62/1000] P =     7.42 yr, a = 4.843"  e = 0.999, M = 37.908 Msun  cost = 161.62926452264992
  [63/1000] P =     7.54 yr, a = 7.717"  e = 0.999, M = 148.561 Msun  cost = 162.74868176995358
  [64/1000] P =     7.66 yr, a = 12.177"  e = 0.999, M = 565.491 Msun  cost = 171.18644233251868
  [65/1000] P =     7.78 yr, a = 5.007"  e = 0.999, M = 38.121 Msun  cost = 164.04570550221425
  [66/1000] P =     7.90 yr, a = 5.047"  e = 0.999, M = 37.866 Msun  cost = 163.30615302712278
  [67/1000] P =     8.02 yr, a = 6.654"  e = 0.999, M = 84.180 Msun  cost = 164.39140410144321
  [68/1000] P =     8.14 yr, a = 8.652"  e = 0.999, M = 179.607 Msun  cost = 167.1017486042257
