Grid mode: 1000 periods in [0.1, 200] yr, 10 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: 2.17 MSol, Secondary Star (m2) Mass Guess: 1.0 MSol
  [1/1000] P =     0.10 yr, a = 100.000"  e = 0.959, M = 1838341432.756 Msun  cost = 126.48233108929347
  [2/1000] P =     0.30 yr, a = 6.242"  e = 0.999, M = 49652.947 Msun  cost = 141.02567580756343
  [3/1000] P =     0.50 yr, a = 54.616"  e = 0.868, M = 11970353.901 Msun  cost = 0.01600708745689039
  [4/1000] P =     0.70 yr, a = 6.369"  e = 0.999, M = 9685.591 Msun  cost = 162.01010783618716
  [5/1000] P =     0.90 yr, a = 7.133"  e = 0.999, M = 8230.802 Msun  cost = 147.04335117914863
  [6/1000] P =     1.10 yr, a = 14.989"  e = 0.999, M = 51120.852 Msun  cost = 137.13389927655817
  [7/1000] P =     1.30 yr, a = 8.356"  e = 0.999, M = 6340.237 Msun  cost = 175.7194344447683
  [8/1000] P =     1.50 yr, a = 8.286"  e = 0.999, M = 4644.444 Msun  cost = 141.5637715382929
  [9/1000] P =     1.70 yr, a = 10.128"  e = 0.999, M = 6602.710 Msun  cost = 168.84221467612744
  [10/1000] P =     1.90 yr, a = 10.476"  e = 0.999, M = 5849.858 Msun  cost = 153.6056669542464
  [11/1000] P =     2.10 yr, a = 19.456"  e = 0.999, M = 30671.674 Msun  cost = 144.31614241393046
  [12/1000] P =     2.30 yr, a = 5.799"  e = 0.999, M = 676.982 Msun  cost = 167.45710699006563
  [13/1000] P =     2.50 yr, a = 9.610"  e = 0.999, M = 2608.079 Msun  cost = 154.0143557127532
  [14/1000] P =     2.70 yr, a = 5.614"  e = 0.999, M = 445.764 Msun  cost = 169.39658995896113
  [15/1000] P =     2.90 yr, a = 15.981"  e = 0.999, M = 8912.463 Msun  cost = 138.09848689548502
  [16/1000] P =     3.10 yr, a = 16.345"  e = 0.999, M = 8345.294 Msun  cost = 146.31931892436754
  [17/1000] P =     3.30 yr, a = 5.594"  e = 0.999, M = 295.155 Msun  cost = 158.98624101809853
  [18/1000] P =     3.50 yr, a = 8.999"  e = 0.999, M = 1092.746 Msun  cost = 162.37798697465453
  [19/1000] P =     3.70 yr, a = 4.774"  e = 0.999, M = 145.963 Msun  cost = 171.57775353721055
  [20/1000] P =     3.90 yr, a = 11.046"  e = 0.999, M = 1627.349 Msun  cost = 146.3975375009462
  [21/1000] P =     4.10 yr, a = 11.481"  e = 0.999, M = 1653.419 Msun  cost = 144.99358368269083
  [22/1000] P =     4.30 yr, a = 5.110"  e = 0.999, M = 132.520 Msun  cost = 172.92393842638123
  [23/1000] P =     4.50 yr, a = 4.672"  e = 0.999, M = 92.499 Msun  cost = 171.11434551731486
  [24/1000] P =     4.70 yr, a = 4.755"  e = 0.999, M = 89.388 Msun  cost = 161.6537869564646
  [25/1000] P =     4.90 yr, a = 6.193"  e = 0.999, M = 181.652 Msun  cost = 146.27809595481077
  [26/1000] P =     5.10 yr, a = 9.195"  e = 0.999, M = 548.843 Msun  cost = 146.7094141270814
  [27/1000] P =     5.30 yr, a = 6.485"  e = 0.999, M = 178.344 Msun  cost = 162.85955526730663
  [28/1000] P =     5.50 yr, a = 4.795"  e = 0.999, M = 66.917 Msun  cost = 166.23765440008657
  [29/1000] P =     5.70 yr, a = 5.743"  e = 0.999, M = 107.055 Msun  cost = 178.31221947881278
  [30/1000] P =     5.90 yr, a = 9.653"  e = 0.999, M = 474.493 Msun  cost = 164.11937027012107
  [31/1000] P =     6.10 yr, a = 7.218"  e = 0.999, M = 185.586 Msun  cost = 154.312738224835
  [32/1000] P =     6.30 yr, a = 5.411"  e = 0.999, M = 73.299 Msun  cost = 153.07502914666594
  [33/1000] P =     6.50 yr, a = 23.763"  e = 0.999, M = 5832.727 Msun  cost = 152.88792641937874
  [34/1000] P =     6.70 yr, a = 31.131"  e = 0.999, M = 12343.063 Msun  cost = 147.24742087408802
  [35/1000] P =     6.90 yr, a = 4.802"  e = 0.999, M = 42.725 Msun  cost = 146.87617863946514
  [36/1000] P =     7.10 yr, a = 7.969"  e = 0.999, M = 184.344 Msun  cost = 149.12757361637728
  [37/1000] P =     7.30 yr, a = 14.140"  e = 0.999, M = 974.252 Msun  cost = 157.10364316509137
  [38/1000] P =     7.50 yr, a = 6.287"  e = 0.999, M = 81.153 Msun  cost = 163.92636142788385
  [39/1000] P =     7.70 yr, a = 11.340"  e = 0.999, M = 451.698 Msun  cost = 171.99926914999733
  [40/1000] P =     7.90 yr, a = 4.901"  e = 0.999, M = 34.650 Msun  cost = 163.32203538457455
  [41/1000] P =     8.10 yr, a = 8.123"  e = 0.999, M = 150.056 Msun  cost = 166.07120153496476
  [42/1000] P =     8.30 yr, a = 5.419"  e = 0.999, M = 42.421 Msun  cost = 168.2835622896764
  [43/1000] P =     8.50 yr, a = 4.764"  e = 0.999, M = 27.476 Msun  cost = 164.8255002185942
  [44/1000] P =     8.70 yr, a = 4.643"  e = 0.999, M = 24.291 Msun  cost = 165.048774651773
  [45/1000] P =     8.90 yr, a = 7.304"  e = 0.999, M = 90.358 Msun  cost = 149.8681117170378
  [46/1000] P =     9.10 yr, a = 7.102"  e = 0.999, M = 79.449 Msun  cost = 146.01137921296538
  [47/1000] P =     9.30 yr, a = 21.450"  e = 0.999, M = 2095.501 Msun  cost = 142.0400337007633
  [48/1000] P =     9.50 yr, a = 16.867"  e = 0.999, M = 976.475 Msun  cost = 152.11888394961773
  [49/1000] P =     9.70 yr, a = 31.024"  e = 0.999, M = 5828.604 Msun  cost = 133.8372841941806
  [50/1000] P =     9.90 yr, a = 31.189"  e = 0.999, M = 5684.763 Msun  cost = 132.12853591791568
  [51/1000] P =    10.11 yr, a = 5.273"  e = 0.999, M = 26.400 Msun  cost = 135.4822180038316
  [52/1000] P =    10.31 yr, a = 33.476"  e = 0.999, M = 6494.184 Msun  cost = 132.89054599652906
  [53/1000] P =    10.51 yr, a = 40.156"  e = 0.999, M = 10786.343 Msun  cost = 131.31190187416846
  [54/1000] P =    10.71 yr, a = 4.833"  e = 0.998, M = 18.107 Msun  cost = 136.62110084703983
  [55/1000] P =    10.91 yr, a = 34.935"  e = 0.999, M = 6590.738 Msun  cost = 136.5491482778817
  [56/1000] P =    11.11 yr, a = 15.659"  e = 0.999, M = 572.358 Msun  cost = 138.59601745145176
  [57/1000] P =    11.31 yr, a = 16.253"  e = 0.999, M = 617.498 Msun  cost = 141.24688843291327
  [58/1000] P =    11.51 yr, a = 29.449"  e = 0.999, M = 3546.756 Msun  cost = 148.89889638036783
  [59/1000] P =    11.71 yr, a = 6.884"  e = 0.999, M = 43.762 Msun  cost = 145.56274852278415
  [60/1000] P =    11.91 yr, a = 4.847"  e = 0.999, M = 14.769 Msun  cost = 146.99023555632746
  [61/1000] P =    12.11 yr, a = 9.590"  e = 0.999, M = 110.648 Msun  cost = 148.79757173035568
  [62/1000] P =    12.31 yr, a = 19.863"  e = 0.999, M = 951.303 Msun  cost = 156.47847803782847
  [63/1000] P =    12.51 yr, a = 9.573"  e = 0.999, M = 103.117 Msun  cost = 155.0418317183033
  [64/1000] P =    12.71 yr, a = 4.926"  e = 0.999, M = 13.614 Msun  cost = 155.62814073666905
  [65/1000] P =    12.91 yr, a = 8.013"  e = 0.999, M = 56.790 Msun  cost = 156.52503989523166
  [66/1000] P =    13.11 yr, a = 9.728"  e = 0.999, M = 98.514 Msun  cost = 158.54192811320993
