Grid mode: 1000 periods in [0.1, 120] yr, 10 Iterations each, Mass Constrain = False
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: None MSol, Secondary Star (m2) Mass Guess: None MSol
  [1/1000] P =     0.10 yr, a = 100.000"  e = 0.971, M = 1838334490.723 Msun  cost = 92.47789385886539
  [2/1000] P =     0.22 yr, a = 24.334"  e = 0.997, M = 5472181.741 Msun  cost = 50.91945425819754
  [3/1000] P =     0.34 yr, a = 8.103"  e = 0.975, M = 84592.906 Msun  cost = 63.703299963202426
  [4/1000] P =     0.46 yr, a = 25.197"  e = 0.999, M = 1389425.823 Msun  cost = 75.74880161127092
  [5/1000] P =     0.58 yr, a = 20.323"  e = 0.986, M = 458570.366 Msun  cost = 58.90391330130502
  [6/1000] P =     0.70 yr, a = 21.969"  e = 0.999, M = 397673.575 Msun  cost = 72.5841811860499
  [7/1000] P =     0.82 yr, a = 35.382"  e = 0.999, M = 1210606.644 Msun  cost = 95.92158138677826
  [8/1000] P =     0.94 yr, a = 14.776"  e = 0.994, M = 67091.894 Msun  cost = 56.908276392824746
  [9/1000] P =     1.06 yr, a = 11.669"  e = 0.978, M = 25988.765 Msun  cost = 73.56096060847213
  [10/1000] P =     1.18 yr, a = 6.427"  e = 0.993, M = 3503.753 Msun  cost = 66.83229101138163
  [11/1000] P =     1.30 yr, a = 54.266"  e = 0.999, M = 1737751.377 Msun  cost = 54.73335135456026
  [12/1000] P =     1.42 yr, a = 14.610"  e = 0.999, M = 28422.259 Msun  cost = 86.23746652759985
  [13/1000] P =     1.54 yr, a = 5.739"  e = 0.994, M = 1464.440 Msun  cost = 60.77227213458247
  [14/1000] P =     1.66 yr, a = 6.239"  e = 0.999, M = 1619.832 Msun  cost = 65.7148360106105
  [15/1000] P =     1.78 yr, a = 28.522"  e = 0.999, M = 134580.725 Msun  cost = 107.92898559334994
  [16/1000] P =     1.90 yr, a = 16.899"  e = 0.999, M = 24567.273 Msun  cost = 84.02385647229829
  [17/1000] P =     2.02 yr, a = 13.634"  e = 0.919, M = 11414.921 Msun  cost = 26.128367947794064
  [18/1000] P =     2.14 yr, a = 6.713"  e = 0.990, M = 1214.116 Msun  cost = 53.41194196455508
  [19/1000] P =     2.26 yr, a = 22.031"  e = 0.999, M = 38476.488 Msun  cost = 100.05075556746682
  [20/1000] P =     2.38 yr, a = 43.221"  e = 0.999, M = 261949.158 Msun  cost = 89.04892236905391
