Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [1/250] P =     0.10 yr, a" = 99.993  e = 0.957, M = 1837941645.799 Msun  cost = 68.21311081982999
  [2/250] P =     0.90 yr, a" = 4.409  e = 0.999, M = 1933.564 Msun  cost = 84.90462778889501
  [3/250] P =     1.71 yr, a" = 7.637  e = 0.999, M = 2814.915 Msun  cost = 88.66094974345538
  [4/250] P =     2.51 yr, a" = 13.683  e = 0.999, M = 7485.123 Msun  cost = 82.57448928016967
  [5/250] P =     3.31 yr, a" = 7.989  e = 0.999, M = 854.991 Msun  cost = 97.62093346759474
  [6/250] P =     4.11 yr, a" = 11.746  e = 0.999, M = 1760.264 Msun  cost = 81.60274842416754
  [7/250] P =     4.92 yr, a" = 4.487  e = 0.999, M = 68.683 Msun  cost = 77.02278324386845
  [8/250] P =     5.72 yr, a" = 4.135  e = 0.999, M = 39.727 Msun  cost = 92.94996934898
  [9/250] P =     6.52 yr, a" = 12.467  e = 0.999, M = 837.336 Msun  cost = 92.55436862513346
  [10/250] P =     7.33 yr, a" = 32.485  e = 0.999, M = 11743.803 Msun  cost = 75.1105454266449
  [11/250] P =     8.13 yr, a" = 23.863  e = 0.999, M = 3781.015 Msun  cost = 78.16712834439446
  [12/250] P =     8.93 yr, a" = 4.685  e = 0.999, M = 23.707 Msun  cost = 81.52373265112388
  [13/250] P =     9.73 yr, a" = 4.334  e = 0.998, M = 15.798 Msun  cost = 89.64292461765434
  [14/250] P =    10.54 yr, a" = 7.871  e = 0.999, M = 80.759 Msun  cost = 94.82765961276164
  [15/250] P =    11.34 yr, a" = 11.344  e = 0.999, M = 208.712 Msun  cost = 85.03316912576464
  [16/250] P =    12.14 yr, a" = 4.435  e = 0.999, M = 10.877 Msun  cost = 74.24366473913753
  [17/250] P =    12.94 yr, a" = 20.304  e = 0.999, M = 918.282 Msun  cost = 63.19611613690105
  [18/250] P =    13.75 yr, a" = 51.115  e = 0.999, M = 12990.217 Msun  cost = 49.64598801696913
  [19/250] P =    14.55 yr, a" = 89.219  e = 0.999, M = 61663.891 Msun  cost = 29.163295569663795
  [20/250] P =    15.35 yr, a" = 86.485  e = 0.999, M = 50446.962 Msun  cost = 17.212233585452335
  [21/250] P =    16.16 yr, a" = 87.370  e = 0.999, M = 46972.048 Msun  cost = 10.929572014637253
  [22/250] P =    16.96 yr, a" = 89.416  e = 0.999, M = 45694.951 Msun  cost = 7.15585695653436
  [23/250] P =    17.76 yr, a" = 92.005  e = 0.999, M = 45382.061 Msun  cost = 4.758436484559987
  [24/250] P =    18.56 yr, a" = 94.895  e = 0.999, M = 45580.790 Msun  cost = 3.1836987278411337
  [25/250] P =    19.37 yr, a" = 4.624  e = 0.975, M = 4.846 Msun  cost = 37.111039749380545
  [26/250] P =    20.17 yr, a" = 97.326  e = 0.999, M = 41657.693 Msun  cost = 1.4101250492585105
  [27/250] P =    20.97 yr, a" = 98.619  e = 0.999, M = 40085.669 Msun  cost = 0.9199170693103508
  [28/250] P =    21.78 yr, a" = 98.630  e = 0.999, M = 37196.796 Msun  cost = 0.5859187243379635
  [29/250] P =    22.58 yr, a" = 99.627  e = 0.999, M = 35657.893 Msun  cost = 0.3606027531020857
  [30/250] P =    23.38 yr, a" = 99.999  e = 0.999, M = 33625.431 Msun  cost = 0.2121116300516634
  [31/250] P =    24.18 yr, a" = 99.998  e = 0.999, M = 31429.256 Msun  cost = 0.11803999581031786
  [32/250] P =    24.99 yr, a" = 100.000  e = 0.999, M = 29443.727 Msun  cost = 0.062138654993412874
  [33/250] P =    25.79 yr, a" = 100.000  e = 0.999, M = 27639.161 Msun  cost = 0.03166272214122496
  [34/250] P =    26.59 yr, a" = 100.000  e = 0.999, M = 25995.520 Msun  cost = 0.01600757868929622
  [35/250] P =    27.40 yr, a" = 100.000  e = 0.999, M = 24494.304 Msun  cost = 0.007881185186844292
  [36/250] P =    28.20 yr, a" = 100.000  e = 0.999, M = 23119.447 Msun  cost = 0.0036206359736544987
  [37/250] P =    29.00 yr, a" = 100.000  e = 0.999, M = 21857.179 Msun  cost = 0.0015574714028596217
  [38/250] P =    29.80 yr, a" = 100.000  e = 0.999, M = 20695.530 Msun  cost = 0.0008621570226535994
  [39/250] P =    30.61 yr, a" = 22.064  e = 0.973, M = 210.772 Msun  cost = 0.0007668000082718172
  [40/250] P =    31.41 yr, a" = 15.815  e = 0.946, M = 73.702 Msun  cost = 0.0006862082708271724
  [41/250] P =    32.21 yr, a" = 13.215  e = 0.920, M = 40.885 Msun  cost = 0.0006147288961682436
  [42/250] P =    33.02 yr, a" = 11.734  e = 0.896, M = 27.249 Msun  cost = 0.0005512982433816826
  [43/250] P =    33.82 yr, a" = 10.765  e = 0.873, M = 20.055 Msun  cost = 0.0004949964981315336
  [44/250] P =    34.62 yr, a" = 10.079  e = 0.851, M = 15.706 Msun  cost = 0.0004450253078042217
  [45/250] P =    35.42 yr, a" = 9.569  e = 0.830, M = 12.835 Msun  cost = 0.000400689344856558
  [46/250] P =    36.23 yr, a" = 9.175  e = 0.811, M = 10.818 Msun  cost = 0.00036138103282468956
  [47/250] P =    37.03 yr, a" = 8.863  e = 0.792, M = 9.335 Msun  cost = 0.0003265678308919086
  [48/250] P =    37.83 yr, a" = 8.613  e = 0.774, M = 8.205 Msun  cost = 0.00029578160097800115
  [49/250] P =    38.63 yr, a" = 8.408  e = 0.757, M = 7.320 Msun  cost = 0.00026860967755036114
  [50/250] P =    39.44 yr, a" = 8.239  e = 0.741, M = 6.610 Msun  cost = 0.00024468733675916173
  [51/250] P =    40.24 yr, a" = 8.099  e = 0.726, M = 6.030 Msun  cost = 0.0002236914209343008
  [52/250] P =    41.04 yr, a" = 7.981  e = 0.712, M = 5.549 Msun  cost = 0.00020533492101964577
  [53/250] P =    41.85 yr, a" = 7.883  e = 0.698, M = 5.143 Msun  cost = 0.00018936235669760022
